UserId,OnboardingCompletionScore,Country,Sex,Age,AccountAgeMonths,ListeningHours,ActiveDays,SkipRate,PlaylistCount,LikedTracks,RecommendationUsageRate,ImportedMusicLibrary,ConvertedToPremium
1000043,58.6,Poland,Male,33,34,25.2,9,0.443,2,14,0.089,0,0
1000044,45.6,France,Male,35,10,14.5,17,0.403,3,16,0.085,0,0
1000045,82.4,Poland,Male,26,14,33.5,18,0.44,3,14,0.419,0,1
1000046,84.5,France,Female,51,19,30.6,18,0.435,1,19,0.422,0,1
1000047,64.8,Poland,Male,32,31,19.4,16,0.269,3,14,0.199,0,0
1000048,83.1,France,Male,48,33,5.8,14,0.488,1,12,0.697,0,0
1000049,27.3,Spain,Male,50,9,34.3,19,0.363,3,23,0.221,0,0
1000050,72.0,Brazil,Male,34,14,51.3,28,0.597,6,23,0.49,0,1
1000051,56.2,Germany,Female,29,16,30.1,18,0.326,4,11,0.154,0,0
1000052,74.0,Spain,Female,37,84,22.1,22,0.32,2,19,0.643,0,0
1000053,68.7,Spain,Female,37,36,23.9,19,0.392,2,15,0.356,0,0
1000054,54.8,Poland,Female,43,33,0.5,5,0.682,1,5,0.377,0,0
1000055,63.5,Germany,Female,22,67,40.5,20,0.409,6,11,0.515,0,0
1000056,60.9,Germany,Male,31,12,28.8,18,0.524,4,10,0.246,0,1
1000057,61.1,France,Female,20,48,0.5,6,0.495,0,7,0.257,0,0
1000058,54.7,Poland,Male,22,22,0.5,7,0.224,2,3,0.475,0,0
1000059,68.8,Germany,Male,34,16,60.0,29,0.282,10,24,0.734,0,0
1000060,62.3,France,Male,24,28,19.6,16,0.466,2,15,0.143,0,0
1000061,86.8,Poland,Male,25,6,25.2,15,0.229,0,14,0.728,0,0
1000062,82.9,Poland,Male,24,6,44.6,25,0.482,6,24,0.717,0,0
1000063,28.7,Poland,Male,36,1,20.5,15,0.657,3,15,0.191,0,0
1000064,65.1,United Kingdom,Female,33,17,9.7,11,0.547,3,7,0.207,0,0
1000065,86.9,Spain,Female,25,12,38.8,23,0.581,6,21,0.542,0,1
1000066,63.6,Poland,Male,28,14,45.1,19,0.635,4,17,0.459,0,0
1000067,69.1,Brazil,Female,23,7,38.5,15,0.474,3,14,0.493,0,1
1000068,89.1,Spain,Male,22,38,15.5,16,0.472,2,13,0.091,0,0
1000069,71.9,France,Female,41,11,14.4,12,0.323,2,11,0.558,0,0
1000070,32.6,Spain,Male,43,11,2.4,14,0.613,2,8,0.269,0,0
1000071,64.8,France,Female,42,15,8.9,15,0.709,3,7,0.103,0,0
1000072,40.1,Brazil,Female,42,30,33.0,17,0.449,4,8,0.653,0,0
1000073,35.9,Poland,Male,31,4,0.5,4,0.469,1,3,0.165,1,0
1000074,67.5,France,Female,33,23,17.0,14,0.327,3,11,0.595,0,1
1000075,76.2,France,Male,62,34,10.8,15,0.628,2,7,0.373,0,0
1000076,90.0,United Kingdom,Female,21,17,25.9,14,0.467,1,15,0.694,0,0
1000077,46.9,France,Male,32,35,37.5,18,0.28,3,11,0.202,0,1
1000078,64.7,France,Female,21,39,11.7,15,0.354,1,12,0.068,0,0
1000079,71.2,Spain,Male,52,13,14.0,14,0.276,2,12,0.481,0,0
1000080,80.1,Spain,Male,54,2,8.0,9,0.302,0,6,0.355,0,0
1000081,54.4,Poland,Female,47,8,10.3,8,0.417,0,5,0.241,0,0
1000082,44.5,Poland,Female,32,5,13.0,18,0.242,4,9,0.094,0,0
1000083,38.1,Brazil,Male,35,22,31.0,15,0.184,2,12,0.379,0,1
1000084,45.8,Spain,Female,29,36,11.3,19,0.337,2,6,0.072,0,0
1000085,51.4,Brazil,Female,52,14,26.6,18,0.632,2,15,0.577,0,0
1000086,65.4,Poland,Female,44,8,13.0,14,0.39,0,13,0.175,1,0
1000087,75.5,United Kingdom,Female,27,13,29.3,20,0.375,2,14,0.639,1,0
1000088,49.5,Germany,Female,33,7,40.2,18,0.493,1,19,0.522,0,0
1000089,76.5,Poland,Male,43,5,25.1,18,0.846,7,7,0.3,0,0
1000090,81.1,France,Male,57,5,21.7,16,0.705,4,19,0.824,0,0
1000091,62.6,Poland,Male,45,9,13.5,9,0.681,1,18,0.556,0,0
1000092,66.5,France,Female,20,18,33.2,24,0.242,4,20,0.174,0,0
1000093,69.5,Germany,Male,31,12,24.6,16,0.652,1,10,0.18,0,0
1000094,74.5,Germany,Male,42,43,33.6,20,0.431,1,14,0.673,0,0
1000095,79.7,France,Female,25,23,34.0,20,0.412,2,13,0.379,0,0
1000096,47.0,Poland,Male,35,10,5.7,6,0.921,0,6,0.066,0,0
1000097,69.8,Germany,Female,22,15,27.3,24,0.348,0,14,0.498,0,0
1000098,58.9,United Kingdom,Female,25,14,39.1,23,0.19,5,15,0.541,0,1
1000099,76.3,Germany,Male,20,2,28.3,19,0.305,3,13,0.427,0,0
1000100,75.6,France,Male,22,13,17.5,18,0.266,1,8,0.517,0,0
1000101,58.8,Spain,Male,28,22,10.5,9,0.63,0,9,0.03,0,0
1000102,76.2,Spain,Female,20,16,21.6,17,0.676,0,7,0.407,0,0
1000103,60.8,Germany,Male,35,6,22.9,13,0.555,0,10,0.862,0,0
1000104,85.1,Brazil,Male,33,8,0.5,1,0.633,0,4,0.137,0,0
1000105,83.0,Brazil,Male,29,14,25.5,18,0.519,5,17,0.226,0,1
1000106,84.2,Poland,Female,40,21,50.7,25,0.226,7,29,0.686,0,0
1000107,90.7,France,Male,32,4,37.1,21,0.307,5,16,0.597,0,0
1000108,91.5,France,Male,36,9,43.2,26,0.256,2,23,0.831,0,0
1000109,95.7,Brazil,Male,53,10,37.3,18,0.228,3,18,0.714,0,0
1000110,43.8,France,Female,36,9,51.3,24,0.237,8,32,0.132,0,0
1000111,63.4,Poland,Female,30,32,18.1,20,0.499,5,9,0.341,0,1
1000112,71.3,Germany,Male,33,18,0.5,5,0.289,1,3,0.33,0,0
1000113,84.9,France,Female,25,3,47.5,25,0.219,4,23,0.607,0,1
1000114,85.8,United Kingdom,Female,31,1,39.9,23,0.138,2,27,0.751,0,1
1000115,72.5,Spain,Male,39,8,41.4,21,0.506,3,16,0.41,0,0
1000116,73.1,Spain,Female,32,9,19.3,11,0.54,0,7,0.266,1,1
1000117,62.4,Germany,Male,42,15,1.1,9,0.5,1,7,0.338,0,0
1000118,59.0,Spain,Male,48,4,31.8,19,0.653,4,18,0.112,0,0
1000119,41.8,France,Female,44,47,0.5,1,0.753,1,3,0.043,0,0
1000120,52.8,Germany,Female,41,39,15.4,15,0.646,1,17,0.5,0,0
1000121,78.6,Poland,Female,21,11,12.7,13,0.772,3,9,0.428,1,1
1000122,78.1,Poland,Female,32,4,20.6,13,0.253,3,14,0.221,0,0
1000123,65.9,France,Male,34,14,37.9,17,0.384,2,18,0.53,0,1
1000124,55.7,Brazil,Male,30,39,17.8,18,0.481,3,12,0.379,1,1
1000125,40.3,Poland,Male,27,5,4.6,6,0.699,0,8,0.082,0,0
1000126,73.8,Brazil,Female,36,11,21.7,19,0.586,2,14,0.46,0,0
1000127,56.3,Brazil,Female,23,25,10.3,10,0.423,1,8,0.223,0,0
1000128,19.6,France,Male,33,10,0.5,10,0.649,1,7,0.084,0,0
1000129,72.6,Spain,Female,20,11,29.5,12,0.622,2,12,0.127,0,0
1000130,94.6,France,Male,20,9,29.3,15,0.369,0,17,0.871,0,0
1000131,66.6,Poland,Male,31,7,6.3,10,0.201,2,9,0.306,1,0
1000132,45.4,Germany,Male,20,21,0.5,5,0.776,0,4,0.223,0,0
1000133,44.9,United Kingdom,Female,34,22,0.5,6,0.62,0,7,0.166,0,0
1000134,83.2,Brazil,Male,41,30,32.1,15,0.215,3,20,0.619,0,0
1000135,77.1,Brazil,Male,30,6,6.2,10,0.647,1,12,0.47,1,0
1000136,65.7,Germany,Male,33,32,17.8,16,0.274,2,14,0.058,0,0
1000137,44.4,United Kingdom,Male,30,38,20.0,16,0.373,2,10,0.197,0,0
1000138,68.8,Spain,Female,32,15,47.9,28,0.247,6,18,0.836,0,0
1000139,89.0,Brazil,Female,37,13,41.7,21,0.408,5,19,0.535,0,0
1000140,69.2,Germany,Male,21,14,13.9,14,0.557,0,9,0.616,0,1
1000141,54.7,Poland,Female,53,35,27.5,21,0.379,2,13,0.153,0,0
1000142,82.3,France,Male,34,16,32.4,18,0.276,1,15,0.607,0,0
1000143,84.5,France,Female,35,21,39.4,15,0.143,5,16,0.702,0,1
1000144,46.6,Spain,Male,28,13,10.1,12,0.878,4,14,0.123,0,1
1000145,64.0,Poland,Male,33,10,32.3,19,0.215,3,18,0.177,0,1
1000146,53.1,Germany,Male,28,40,44.7,18,0.389,5,25,0.531,0,0
1000147,52.9,Poland,Female,23,10,28.4,21,0.369,1,18,0.533,0,0
1000148,88.1,United Kingdom,Female,28,31,37.4,19,0.306,4,24,0.469,0,0
1000149,41.0,United Kingdom,Male,22,19,29.5,20,0.388,5,21,0.103,0,1
1000150,43.2,Germany,Male,41,21,17.8,13,0.424,1,6,0.527,0,0
1000151,71.1,Germany,Female,32,17,58.7,30,0.693,11,29,0.545,0,0
1000152,59.9,Brazil,Female,48,17,37.3,17,0.262,5,15,0.743,0,1
1000153,71.5,Brazil,Female,35,7,46.5,25,0.089,8,22,0.589,0,1
1000154,32.1,Spain,Female,38,14,18.1,12,0.493,0,8,0.055,0,1
1000155,82.2,France,Male,42,17,39.2,21,0.229,7,16,0.758,0,0
1000156,88.3,Germany,Male,20,6,15.4,11,0.486,1,14,0.418,0,1
1000157,73.9,France,Male,28,23,24.7,16,0.611,4,14,0.084,0,0
1000158,46.3,Spain,Female,37,15,15.6,13,0.854,2,10,0.792,0,0
1000159,83.9,Poland,Female,21,11,37.8,18,0.295,3,19,0.239,0,0
1000160,91.7,France,Female,20,14,33.0,17,0.176,2,16,0.208,0,0
1000161,53.3,United Kingdom,Male,27,59,38.3,19,0.43,0,21,0.246,0,0
1000162,36.8,Spain,Female,39,37,6.0,12,0.413,1,4,0.585,0,0
1000163,51.2,Spain,Female,39,61,57.4,26,0.17,6,33,0.626,0,1
1000164,85.0,Brazil,Male,39,33,6.7,6,0.477,1,7,0.465,0,0
1000165,90.6,Poland,Male,26,24,22.4,16,0.563,2,10,0.32,0,0
1000166,77.5,Brazil,Female,20,18,34.0,20,0.535,1,13,0.879,0,1
1000167,56.4,France,Male,31,14,7.9,13,0.749,3,9,0.153,0,0
1000168,51.8,Poland,Female,48,26,12.7,8,0.167,0,10,0.209,0,1
1000169,78.6,Poland,Female,30,22,11.6,10,0.29,3,8,0.244,0,0
1000170,66.2,Poland,Female,22,13,17.6,14,0.307,1,7,0.09,0,0
1000171,85.6,France,Male,28,14,31.5,17,0.492,1,12,0.901,0,1
1000172,52.8,France,Female,29,8,24.7,11,0.526,1,6,0.221,0,0
1000173,53.2,Spain,Male,20,3,7.6,14,0.24,1,3,0.295,0,0
1000174,46.0,Poland,Male,24,39,0.5,2,0.87,0,4,0.039,0,0
1000175,73.0,Brazil,Female,46,27,0.5,11,0.568,3,7,0.456,1,0
1000176,69.4,United Kingdom,Female,31,30,19.2,7,0.641,5,7,0.143,0,0
1000177,53.7,Brazil,Female,20,31,36.0,19,0.117,2,20,0.394,0,1
1000178,67.7,Poland,Female,36,20,12.6,13,0.604,4,10,0.212,0,0
1000179,86.7,Poland,Female,43,15,45.8,19,0.267,7,13,0.188,0,1
1000180,39.2,United Kingdom,Female,29,3,10.7,14,0.876,0,16,0.138,0,0
1000181,58.2,Poland,Female,48,1,0.5,6,0.684,1,9,0.132,0,0
1000182,90.5,Poland,Male,63,3,44.5,19,0.179,5,17,0.59,0,1
1000183,77.3,Spain,Female,40,10,22.7,15,0.389,1,10,0.48,1,0
1000184,86.1,Poland,Female,39,32,28.2,17,0.078,0,13,0.377,1,1
1000185,81.5,Spain,Female,22,9,38.9,22,0.297,1,20,0.451,0,0
1000186,41.9,Spain,Male,28,30,18.6,8,0.442,1,10,0.6,0,0
1000187,44.5,United Kingdom,Female,39,2,52.0,24,0.159,5,21,0.691,1,1
1000188,70.0,Poland,Male,34,10,16.6,11,0.61,4,9,0.619,1,0
1000189,47.6,Brazil,Male,22,3,0.5,8,0.217,1,11,0.375,0,1
1000190,58.0,France,Female,40,12,32.6,20,0.424,2,13,0.525,0,1
1000191,38.0,United Kingdom,Female,33,11,11.2,13,0.573,0,11,0.334,0,0
1000192,83.0,United Kingdom,Female,38,3,29.5,14,0.236,1,6,0.864,0,0
1000193,59.2,France,Female,41,29,28.8,17,0.473,3,6,0.413,0,0
1000194,58.6,Spain,Female,47,32,28.4,18,0.438,3,14,0.277,0,0
1000195,82.2,Spain,Male,46,26,32.1,18,0.274,6,18,0.783,0,0
1000196,54.4,Germany,Male,20,3,0.5,9,0.389,2,4,0.565,0,0
1000197,56.4,United Kingdom,Female,29,31,14.7,12,0.72,3,9,0.159,0,0
1000198,88.8,Poland,Male,20,19,39.3,16,0.185,2,17,0.653,0,0
1000199,94.1,Germany,Female,32,20,34.5,19,0.264,4,19,0.202,0,0
1000200,82.8,Spain,Female,41,5,19.9,15,0.716,0,15,0.772,0,0
1000201,52.3,France,Male,44,7,41.8,19,0.54,7,12,0.319,0,0
1000202,49.7,Germany,Male,28,14,12.3,8,0.425,0,6,0.191,0,0
1000203,29.4,Brazil,Female,22,29,0.5,5,0.571,3,5,0.097,0,0
1000204,75.6,United Kingdom,Female,32,9,5.8,11,0.742,2,10,0.453,1,0
1000205,70.4,Brazil,Female,35,63,32.3,12,0.704,4,16,0.487,1,1
1000206,29.8,Germany,Male,34,29,0.5,4,0.314,0,4,0.189,0,0
1000207,51.5,Germany,Female,30,16,12.3,9,0.471,2,8,0.244,0,0
1000208,61.1,Germany,Female,37,12,29.2,23,0.176,2,16,0.493,0,1
1000209,91.9,United Kingdom,Male,25,36,3.6,9,0.662,1,9,0.612,0,0
1000210,61.3,Brazil,Female,26,19,24.9,14,0.253,2,7,0.309,0,1
1000211,73.1,United Kingdom,Female,21,18,35.6,16,0.413,3,12,0.235,0,0
1000212,70.5,Poland,Female,37,12,29.3,15,0.642,0,18,0.551,0,1
1000213,75.4,Brazil,Female,27,31,0.5,3,0.608,0,6,0.04,0,0
1000214,66.2,France,Male,28,8,49.1,18,0.306,7,16,0.735,0,1
1000215,76.9,France,Female,35,3,51.7,25,0.622,2,32,0.795,0,0
1000216,64.2,Brazil,Male,20,18,20.5,19,0.442,2,12,0.269,0,0
1000217,25.8,Poland,Female,50,12,16.9,14,0.578,2,11,0.136,0,0
1000218,89.2,France,Female,37,16,34.6,23,0.195,1,26,0.814,0,0
1000219,78.3,Brazil,Female,43,11,7.2,10,0.636,0,5,0.458,0,1
1000220,85.5,Germany,Female,46,19,42.5,20,0.289,1,15,0.709,0,0
1000221,46.6,Germany,Female,22,6,34.7,20,0.503,1,21,0.25,1,0
1000222,81.6,United Kingdom,Male,48,19,19.9,21,0.24,3,17,0.687,1,1
1000223,78.6,Spain,Female,39,17,27.2,17,0.312,3,16,0.735,0,0
1000224,45.2,United Kingdom,Female,20,5,5.7,6,0.429,2,4,0.1,0,1
1000225,76.8,Poland,Female,34,34,0.5,10,0.712,2,5,0.196,0,0
1000226,63.6,Poland,Male,24,18,25.5,19,0.375,3,15,0.225,0,0
1000227,52.9,Germany,Female,49,9,20.2,12,0.313,2,12,0.23,1,0
1000228,61.1,United Kingdom,Male,33,25,23.6,9,0.875,4,18,0.449,0,0
1000229,79.2,Poland,Male,40,14,44.0,26,0.649,8,29,0.636,0,0
1000230,85.4,Brazil,Male,33,14,69.0,30,0.121,5,40,0.938,0,1
1000231,58.4,Poland,Female,40,19,44.0,25,0.492,6,31,0.6,0,0
1000232,61.2,Brazil,Male,48,22,14.5,15,0.591,0,10,0.481,0,0
1000233,63.0,Spain,Female,20,28,7.8,12,0.538,0,10,0.229,0,0
1000234,41.8,Germany,Female,31,2,17.3,12,0.522,3,7,0.2,0,0
1000235,53.1,Spain,Male,31,8,7.7,9,0.87,1,9,0.064,0,0
1000236,48.7,France,Male,56,2,7.1,9,0.452,2,7,0.331,0,0
1000237,74.2,Poland,Female,32,34,49.1,22,0.453,3,21,0.823,0,1
1000238,58.4,United Kingdom,Female,31,10,15.9,15,0.533,1,6,0.439,0,0
1000239,37.4,Poland,Female,48,28,12.2,11,0.534,0,12,0.508,0,1
1000240,54.7,Germany,Female,27,6,36.7,13,0.224,4,11,0.552,0,0
1000241,72.8,Poland,Female,21,7,12.5,12,0.274,2,5,0.143,0,0
1000242,38.0,Poland,Male,20,22,33.7,17,0.718,3,14,0.333,0,0
1000243,69.8,France,Male,24,21,5.5,12,0.537,3,9,0.166,0,0
1000244,63.9,Spain,Female,28,33,1.1,6,0.582,0,4,0.27,0,0
1000245,87.5,Brazil,Male,21,15,13.5,15,0.475,1,12,0.544,1,1
1000246,88.1,Germany,Female,38,7,32.4,19,0.243,2,18,0.831,0,1
1000247,78.9,Germany,Female,21,11,38.8,22,0.537,1,15,0.508,0,0
1000248,37.3,Poland,Male,43,28,25.2,16,0.585,3,13,0.298,0,0
1000249,56.0,United Kingdom,Female,47,12,30.1,12,0.297,1,13,0.269,0,0
1000250,90.3,Germany,Male,33,12,25.3,15,0.428,3,11,0.427,0,0
1000251,60.0,Spain,Female,37,25,18.2,18,0.355,1,12,0.702,0,0
1000252,43.1,France,Female,35,7,16.4,13,0.36,2,8,0.029,1,1
1000253,45.4,Germany,Female,43,47,0.9,9,0.742,0,6,0.105,0,0
1000254,73.5,France,Female,26,16,16.8,16,0.767,2,9,0.387,0,0
1000255,73.0,Spain,Male,37,57,15.0,6,0.598,0,10,0.606,0,1
1000256,70.6,France,Male,47,21,0.5,3,0.731,1,4,0.033,0,0
1000257,59.7,Poland,Female,30,17,31.2,20,0.405,3,13,0.351,0,0
1000258,86.0,United Kingdom,Female,32,17,37.1,27,0.57,8,21,0.459,0,0
1000259,63.3,Brazil,Male,29,10,12.5,6,0.557,3,11,0.668,0,0
1000260,80.2,Brazil,Female,20,32,21.6,9,0.436,2,6,0.474,1,0
1000261,63.7,Brazil,Male,24,9,0.5,5,0.753,1,5,0.294,0,1
1000262,55.9,Germany,Male,34,23,4.1,7,0.525,2,7,0.096,0,0
1000263,87.6,Brazil,Female,38,17,29.5,21,0.479,2,21,0.658,0,1
1000264,42.3,Poland,Female,29,9,14.7,14,0.465,2,12,0.325,0,0
1000265,75.7,France,Female,43,8,28.8,18,0.776,2,24,0.555,0,1
1000266,59.8,Brazil,Male,45,7,16.6,14,0.426,2,9,0.518,0,0
1000267,48.2,Brazil,Female,28,8,33.8,20,0.391,4,13,0.154,0,1
1000268,74.7,Poland,Female,34,28,55.2,29,0.525,3,29,0.907,0,0
1000269,73.9,United Kingdom,Female,51,32,27.6,18,0.246,3,17,0.172,0,0
1000270,41.9,Poland,Female,46,7,0.5,6,0.842,0,3,0.358,0,0
1000271,78.8,Spain,Male,37,44,37.1,16,0.707,3,16,0.099,0,0
1000272,45.9,Poland,Female,40,9,24.7,21,0.424,2,10,0.695,0,0
1000273,79.3,Poland,Male,22,4,51.8,19,0.436,3,25,0.611,0,0
1000274,70.9,Poland,Male,33,16,27.5,19,0.606,1,13,0.342,0,0
1000275,85.3,Poland,Female,44,20,26.4,19,0.298,4,17,0.624,0,1
1000276,92.9,Germany,Female,36,4,41.7,21,0.094,2,15,0.257,1,0
1000277,42.6,Germany,Female,22,12,14.0,15,0.656,7,15,0.271,0,0
1000278,91.3,Spain,Female,20,7,37.5,18,0.313,3,12,0.253,0,0
1000279,87.0,Spain,Female,41,11,38.1,24,0.671,4,29,0.259,0,1
1000280,53.2,France,Female,45,20,18.0,12,0.518,1,4,0.235,0,0
1000281,43.4,Brazil,Female,30,18,0.5,3,0.889,2,5,0.039,0,0
1000282,72.3,Germany,Female,53,24,25.2,17,0.464,1,20,0.408,0,0
1000283,17.0,Poland,Male,31,39,1.7,7,0.454,1,6,0.095,0,0
1000284,56.1,Poland,Female,28,7,25.4,16,0.784,1,15,0.778,0,0
1000285,41.3,Brazil,Male,22,17,17.4,14,0.417,2,11,0.412,0,0
1000286,40.5,Poland,Female,27,25,0.5,5,0.221,1,8,0.072,0,0
1000287,81.2,Germany,Male,33,15,6.9,12,0.554,4,8,0.243,0,0
1000288,71.0,Poland,Male,38,13,32.5,21,0.177,1,24,0.429,0,1
1000289,86.8,Germany,Female,35,14,42.5,28,0.313,5,23,0.779,0,1
1000290,64.8,Brazil,Male,29,2,21.0,8,0.423,1,15,0.238,0,1
1000291,71.7,France,Female,44,29,28.3,16,0.83,1,20,0.386,0,0
1000292,88.5,Brazil,Female,37,18,28.1,22,0.295,1,11,0.695,0,1
1000293,59.9,Spain,Male,34,31,46.8,23,0.545,1,20,0.387,1,0
1000294,79.4,Poland,Male,22,25,22.2,14,0.663,2,8,0.502,0,0
1000295,68.8,Spain,Male,54,21,49.8,27,0.326,4,21,0.476,0,0
1000296,69.2,Germany,Male,32,18,18.6,18,0.426,2,9,0.174,0,0
1000297,90.8,Spain,Female,22,18,30.2,26,0.493,6,16,0.58,0,1
1000298,61.1,Germany,Male,33,8,22.0,9,0.605,2,6,0.298,0,0
1000299,68.5,Brazil,Female,25,28,0.5,5,0.837,1,7,0.163,0,0
1000300,56.2,Poland,Male,33,19,36.5,20,0.369,3,19,0.147,1,1
1000301,95.5,France,Male,40,7,32.9,21,0.143,1,9,0.61,0,0
1000302,63.2,Spain,Male,26,17,19.1,19,0.315,2,11,0.621,0,0
1000303,62.0,Brazil,Male,21,12,43.3,22,0.703,3,27,0.644,0,1
1000304,50.6,Brazil,Female,58,8,13.4,7,0.429,1,10,0.432,0,0
1000305,69.2,Spain,Male,22,9,21.5,11,0.248,4,6,0.295,0,0
1000306,86.9,Brazil,Male,44,26,6.6,6,0.59,1,9,0.472,0,0
1000307,68.2,Germany,Female,32,40,20.1,14,0.528,4,14,0.459,0,0
1000308,36.0,France,Female,21,46,3.5,13,0.736,2,8,0.165,0,0
1000309,61.7,Germany,Female,43,32,0.5,7,0.626,2,3,0.436,0,0
1000310,66.1,Spain,Female,43,35,32.9,18,0.176,3,15,0.35,0,0
1000311,70.8,Brazil,Female,53,12,16.4,15,0.33,4,15,0.048,0,0
1000312,36.7,Brazil,Female,38,13,0.5,5,0.332,1,8,0.188,0,0
1000313,60.4,Poland,Male,52,21,0.5,4,0.202,0,9,0.098,0,0
1000314,73.3,United Kingdom,Female,29,4,0.5,5,0.594,1,12,0.265,0,0
1000315,79.0,Germany,Female,29,22,0.5,7,0.64,1,6,0.555,1,1
1000316,72.3,United Kingdom,Male,48,27,4.0,13,0.507,1,5,0.333,0,1
1000317,89.1,Spain,Female,27,18,25.0,19,0.394,3,14,0.499,0,0
1000318,28.0,France,Male,22,16,5.3,9,0.489,3,2,0.077,0,0
1000319,88.8,Germany,Female,32,9,19.5,17,0.238,2,15,0.352,0,0
1000320,82.9,Brazil,Male,42,4,22.3,18,0.265,2,12,0.693,0,1
1000321,84.9,Germany,Female,20,6,53.4,26,0.54,5,25,0.758,0,1
1000322,30.0,Germany,Female,55,10,11.9,9,0.393,2,9,0.252,0,0
1000323,89.4,United Kingdom,Female,30,9,32.1,17,0.584,2,15,0.241,0,1
1000324,55.6,Germany,Female,21,21,4.6,8,0.1,2,6,0.197,0,0
1000325,88.3,Spain,Male,32,9,56.5,23,0.469,4,28,0.84,0,0
1000326,47.4,Brazil,Male,21,10,19.1,14,0.185,1,10,0.307,0,1
1000327,84.9,France,Female,31,45,35.5,15,0.189,1,17,0.514,0,0
1000328,57.4,France,Female,20,22,30.9,20,0.154,4,20,0.72,0,0
1000329,66.8,United Kingdom,Female,20,9,10.3,13,0.678,2,7,0.51,1,0
1000330,52.5,Spain,Female,20,3,25.4,16,0.551,4,8,0.672,0,0
1000331,72.6,Germany,Male,20,11,49.7,23,0.301,10,27,0.721,0,0
1000332,43.5,Poland,Female,30,16,15.1,10,0.744,0,2,0.066,1,0
1000333,48.5,Poland,Male,31,15,25.8,15,0.758,3,18,0.575,0,0
1000334,81.0,Germany,Male,54,13,12.5,12,0.241,1,9,0.592,0,0
1000335,85.6,Spain,Male,42,7,42.5,24,0.143,5,26,0.849,0,1
